standard,body,year
ISO 10218-1:2025,ISO,2025
ISO 10218-2:2025,ISO,2025
ISO/TS 15066:2016,ISO,2016
ISO 8373:2012,ISO,2012
ISO 9283:1998,ISO,1998
ISO 9409-1:2004,ISO,2004
ISO 9409-2:2002,ISO,2002
ISO 9787:2013,ISO,2013
ISO 11593:2022,ISO,2022
ISO 13482:2014,ISO,2014
ISO 14539:2000,ISO,2000
ISO 18646-1:2016,ISO,2016
ISO 18646-2:2019,ISO,2019
ISO 18646-3:2021,ISO,2021
ISO 22166-1:2021,ISO,2021
ISO/TR 13309:1995,ISO,1995
IEEE 1872,IEEE,2015
IEEE 1873,IEEE,2015
IEEE 7007,IEEE,2021
IEEE 1872.1,IEEE,2024
IEEE 1872.2,IEEE,2021
IEEE 2751,IEEE,2025
IEEE 2730,IEEE,2022
IEEE 2991,IEEE,2023
IEEE 2945,IEEE,2023
IEEE 3345,IEEE,2024
IEEE 3328,IEEE,2025
IEEE 3177,IEEE,2024
