tech_category,category_description,std_document,bm25_score,relevance,notes
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GBT+38835-2020,13.75,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GBT+38872-2020,13.6,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GBT+39266-2020,13.65,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GBT+39561.7-2020,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GBT+45501-2025,24.39,1,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_GB_T_AI_Safety_Standard,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",China_T_CAMETA_001069-2025_人形机器人智能感知与运动控制技术规范_征求意见稿,198.09,1,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",DB32T4047-2021FDIS,24.38,1,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+20867.1-2024,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+38872-2020,6.57,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+39004-2020,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+39006-2020,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+39266-2020,13.99,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+39360-2020,0.0,0,
Sensing & Perception,"Sensors, computer vision, environment perception, object detection, depth sensing, LiDAR, radar, tactile sensing, force/torque sensing.",GBT+45501-2025,25.45,1,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+34884-2017,0.0,0,
