,China_DB32T4047-2021FDIS,China_DB4101T96-2024FDIS,China_GBT+20867.1-2024,China_GBT+20868-2024,China_GBT+32197-2025,China_GBT+34884-2017,China_GBT+34897-2017,China_GBT+37414.1-2019,China_GBT+37414.2-2020,China_GBT+38326-2019,China_GBT+38336-2019,China_GBT+38559-2020,China_GBT+38560-2020,China_GBT+38642-2020,China_GBT+38835-2020,China_GBT+38839-2020,China_GBT+38871-2020,China_GBT+38872-2020,China_GBT+39004-2020,China_GBT+39006-2020,China_GBT+39007-2020,China_GBT+39134-2020,China_GBT+39266-2020,China_GBT+39360-2020,China_GBT+39401-2020,China_GBT+39402-2020,China_GBT+39404-2020,China_GBT+39463-2020,China_GBT+39561.7-2020,China_GBT+40212-2021,China_GBT+40574-2021,China_GBT+40575-2021,China_GBT+40576-2021,China_GBT+42982-2023,China_GBT+42983.1-2023,China_GBT+42983.2-2023,China_GBT+42983.3-2023,China_GBT+42983.4-2023,China_GBT+45501-2025,China_GBT+45509-2025,China_GBT+5226.7-2020,China_GB_T_36008-2018_协作机器人,China_GB_T_38244-2019_机器人安全总则,China_GB_T_44253-2024_巡检机器人安全要求,China_GB_T_AI_Safety_Standard,China_T_CAMETA_001067-2025_人形机器人人机交互与安全技术规范,China_T_CAMETA_001068-2025_人形机器人机器脑云边端智能协同技术规范_征求意见稿,China_T_CAMETA_001069-2025_人形机器人智能感知与运动控制技术规范_征求意见稿,China_T_CAMETA_001070-2025_人形机器人性能检测试验方法_征求意见稿,DB32T4047-2021FDIS,DB4101T96-2024FDIS,EU_AI_Act_Regulation_2024_1689,EU_EU_Machinery_Regulation_2023_1230,GBT+20867.1-2024,GBT+32197-2025,GBT+34884-2017,GBT+34897-2017,GBT+37414.1-2019,GBT+37414.2-2020,GBT+38326-2019,GBT+38336-2019,GBT+38559-2020,GBT+38560-2020,GBT+38642-2020,GBT+38835-2020,GBT+38839-2020,GBT+38871-2020,GBT+38872-2020,GBT+39004-2020,GBT+39006-2020,GBT+39007-2020,GBT+39134-2020,GBT+39266-2020,GBT+39360-2020,GBT+39401-2020,GBT+39402-2020,GBT+39404-2020,GBT+39463-2020,GBT+39561.7-2020,GBT+40212-2021,GBT+40574-2021,GBT+40575-2021,GBT+40576-2021,GBT+42982-2023,GBT+42983.1-2023,GBT+42983.2-2023,GBT+42983.3-2023,GBT+42983.4-2023,GBT+45501-2025,GBT+45509-2025,IEEE_Humanoid_Standards_Pathway_Study_2025,International_ISO_13482-2014_Preview_Personal_Care_Robot_Safety,Japan_JIS_B_8446-4-2025_Preview_Service_Robot_Safety,NIST_AI_RMF_1.0_2023
Sensing & Perception,23.62513840792819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.546344849591025,0.0,28.92120671305447,0.0,0.0,13.752323055560035,0.0,13.511214813001743,13.596857248164932,0.0,0.0,0.0,0.0,13.649919881824065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.387947498384943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.97769988239096,198.09258664915222,0.0,24.37552336201097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.007627481080156,0.0,0.0,13.167007081410606,0.0,8.994452231113227,6.573529222370578,0.0,0.0,0.0,0.0,13.98924495415206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.10556089955887,0.0,0.0,0.0,25.45259006362427,0.0,0.0,114.01341776105536,0.0,0.0
Control & Planning,16.8360903345277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.99973982962376,0.0,28.231701449904676,0.0,29.303871385528904,0.0,28.013602588101456,0.0,24.020751406151934,53.15927087180438,23.8013312862016,24.352808171133614,42.37281312718767,17.55299358314979,0.0,29.39612463976805,0.0,28.138858159039028,33.7363818776589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.772861693207673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.80361846711054,0.0,17.428005987612877,0.0,0.0,31.04102011595131,0.0,24.73277917550682,0.0,0.0,36.93064536590397,0.0,0.0,0.0,18.082355439716665,0.0,0.0,0.0,16.500138134705104,0.0,10.425488405085707,0.0,0.0,38.41550834179364,20.019361702785016,0.0,39.723167364675746,0.0,0.0,25.007709733303415,0.0,17.8015908462703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50139013124227,0.0,0.0,0.0,50.89395015171972,0.0,54.85775410298325
Manipulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625695396796541,2.677973567109849,2.6413585439205662,3.110936173133405,0.0,2.6460481609208175,0.0,0.0,30.63133437963687,0.0,37.42974532607854,0.0,2.6278613585290977,0.0,0.0,3.1782499564635347,2.7012731272116803,0.0,0.0,0.0,2.5770659654245653,3.1848247170411086,2.6387269529351745,0.0,0.0,0.0,0.0,2.5791042407701035,3.1029983677996364,2.613720392863873,2.547231922617543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.32538223895789,3.3680382593753837,2.7120975496971718,0.0,34.07128355677464,35.3928899707845,44.5091451920328,0.0,0.0,0.0,0.0,1.9971025444701682,2.777531517515706,0.571204457107226,2.025088536685779,0.0,0.0,3.355109344043137,0.0,0.0,0.0,3.0599997326215127,0.0,1.9144248712867804,0.0,0.0,2.771339446985487,1.9694953070827101,0.0,0.0,0.0,2.15237228721745,2.517814925881439,1.7457449127925053,0.0,0.0,0.0,0.0,1.3865714219070933,1.4154431889787913,1.1042917516788744,1.9884319833151587,0.0,0.0,33.608084999773716,29.16499939428878,0.0,3.754482793153967
Mobility & Locomotion,0.0,0.0,1.9697062362406306,0.0,0.0,8.474249339973962,8.076538868167749,1.984353770308471,2.0259713348463766,0.0,0.0,6.615381863254285,8.792479229318909,38.13618721137949,0.0,10.379468850883487,36.60108204739054,0.0,0.0,8.322265344980638,8.576164694534167,0.0,8.458019942144286,0.0,2.412276341710282,0.0,1.9765475192170099,1.9457185888684179,0.0,36.14616453007251,1.998598071967188,8.647164137431785,8.537504606965946,8.422870291266827,0.0,0.0,0.0,0.0,28.176208449660738,0.0,0.0,7.6742247128183045,0.0,1.9405028086913922,0.0,0.0,0.0,67.30242851581795,8.584936758858685,0.0,0.0,2.74964463068554,29.849168584984454,1.3679028121411332,0.0,5.937242878260574,5.430835942179839,1.49064352175224,2.1054676596037,1.4172209521782937,3.3488956140353046,4.597121999826642,5.839263519508727,33.2903532966758,0.0,5.417292595937607,61.64063552997149,2.383315910877272,0.0,6.088185241174745,6.070048266957945,0.0,8.769534368228967,0.0,1.5667678093172754,0.0,2.0897873584188855,0.0,0.0,1.2966209444145038,2.1519846721732487,4.5221732204331655,8.73586033880459,5.455620307226166,3.4011170766860315,3.470539171362277,2.7194194109580683,3.2692042899447853,36.13986793632601,6.749720003366518,98.87190436598155,11.224471919291286,0.0,2.52437829932278
Actuation & Joints,0.0,0.0,0.0,0.0,0.0,91.21971497555053,48.06659586891212,0.0,33.991074663590794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99920281645268,0.0,0.0,0.0,0.0,0.0,0.0,15.986281151603364,0.0,24.18372595449839,0.0,0.0,0.0,46.56951546943261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.826210890221944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51506253879699,50.97227528399836,0.0,0.0,71.63590520054935,41.7981178756931,0.0,34.62096732225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.453549925873695,0.0,0.0,0.0,0.0,0.0,0.0,11.423262549663132,0.0,21.734767638365554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.728363404035374,0.0,0.0,0.0,12.892592251541352,14.193423331954978,0.0,14.294028191519836
Human-Robot Interaction,1.540094843503824,0.0,14.067867636478752,0.0,1.6630174211186235,0.0,0.0,5.251390793593082,5.355947134219698,7.447989756607548,8.19911082006783,28.92120671305447,21.723994883608082,2.187504923814782,2.0394299918267653,6.803589138253983,0.0,9.41910336229874,2.0093211645318907,6.899429963174767,0.0,1.6242698760756922,32.71118570626053,7.441965107083087,2.1659205116946976,1.6503394742561273,30.334196748567457,5.154131930849131,8.550104535693535,7.4417022746870884,1.65440734997914,78.60296141632513,1.6907113186881866,1.6656467275722073,26.513804976707743,27.50081337488438,5.227440785727746,5.094463845235086,0.0,0.0,13.681336383304775,0.0,14.474768310635564,13.920897387720332,0.0,0.0,44.52892741404422,33.33765606511059,19.90558538462276,1.6336628852715904,28.609074535724258,71.2695375102646,69.06397183411175,10.7651425547017,1.7075179298679128,0.0,0.0,5.218023663387363,7.300970443715313,1.142408914214452,4.050177073371558,20.007627481080156,0.0,8.336555789602965,1.5796142419166184,0.0,0.0,6.7304168115761795,32.670679002584336,3.828849742573561,0.0,1.3050923980302331,5.542678893970974,5.144820363377097,1.287898360691468,0.9855331501921151,2.209592803441447,5.630334983625495,6.166491571645924,5.232811992324549,1.7858341642742157,16.485190981713046,0.0,0.0,16.91662549643219,2.8308863779575826,2.208583503357749,3.9768639666303174,0.0,0.0,89.22656731709236,119.94982055359549,0.0,7.508965586307934
AI & Learning,23.62513840792819,0.0,3.939412472481261,0.0,0.0,4.049741280078789,3.8471078898176443,6.5944029374134825,6.729916236802602,2.6413585439205662,3.110936173133405,0.0,7.474106550403745,0.0,0.0,7.357130959437624,3.977501162436102,3.5809724928039093,0.0,6.600014012636427,28.978867420032756,24.30205181534494,20.869616892279737,2.7012731272116803,4.824552683420564,11.658276131961284,3.9530950384340198,6.468503143161401,3.1848247170411086,108.66743789073911,3.997196143934376,29.944374157429504,61.44430010710155,4.023490816929563,2.5791042407701035,3.1029983677996364,2.613720392863873,2.547231922617543,24.387947498384943,0.0,0.0,0.0,0.0,3.8810056173827845,0.0,0.0,163.03720130032363,342.01493297962054,6.818464625548792,24.37552336201097,0.0,25.722966154901815,56.4952803895287,2.7358056242822664,0.0,2.779066257665938,2.5315688697859557,4.9783895879746485,6.988466836723106,0.571204457107226,2.025088536685779,0.0,2.731023430740974,21.693946619660842,0.0,2.5249773916324822,2.232135063112726,21.899907455583318,0.0,4.767651717718977,22.99777038444636,21.54040705437274,6.97236768174707,1.9694953070827101,3.133535618634551,13.8214551355298,4.179574716837771,2.15237228721745,2.517814925881439,4.3389868016215125,4.3039693443464975,11.90836126175558,16.219478969064024,2.543635007247832,38.30056427781564,8.66472140591916,6.998155765270605,17.026032701191248,25.45259006362427,0.0,53.31693444770043,56.398668583069494,0.0,23.02620915003022
Communication,3.3521355512251194,0.0,3.5506156479406754,0.0,56.44803902513986,0.30145786272368086,0.2826655667761586,0.29388390498962885,0.30166472840418773,4.7084459367132565,4.241294160065941,0.3122726788640261,56.38726869088603,4.796770566588401,4.4639764971108615,36.956604192829545,0.2947019895504152,112.0348405445065,4.396491598436277,3.66368311279021,0.30637285862156116,3.5385222383350805,3.7281715711141588,57.84308567689542,134.08201733839428,3.596328725839515,4.685435974622285,0.286734971566197,4.7808914086274905,102.73720116181349,3.6053523130194534,4.788669466116607,3.766009417645363,3.711457741145395,0.28703291667622244,0.28522898707312605,0.292115595757619,0.2823908217032288,0.29236610662060813,0.28459085881874063,3.4064928487885937,0.0,3.9964375363713316,3.4953761800348007,0.0,0.0,28.705332593000534,4.318346902606357,3.402205566562013,3.5593457292390567,0.0,42.9615040414774,69.02001551256751,2.4293412139205444,57.349513442293485,0.19114456999715912,0.17158116266476836,2.6552015583803446,3.808577740205601,0.05109022381543058,0.13234801581271682,0.19372877481411793,0.18730184590237137,22.794880309163645,3.4395929621688612,0.17106794125432281,0.1486623474968514,109.70773493148796,3.5841174690563977,0.19711989234193228,0.19639832581255218,2.8338029233665005,0.315812959298742,2.6157145842945413,112.8965594914358,2.1333869083824117,4.846544872907815,2.8788999572143505,2.4513213051836282,53.21867994303051,3.89741248515998,0.13824351171275687,0.3141581198385547,0.17252168253251998,0.13476251662279704,0.13799187907456065,0.10420235494453028,9.930532697855252,0.32387122718909034,0.32118229958662237,57.495567799549335,53.155204056022825,0.0,45.26139675844632
Safety & Reliability,0.0,0.0,37.3144272552082,0.0,0.0,0.0,0.0,47.560218400898215,0.0,0.0,15.750405061625145,0.0,44.327479126277176,57.63751963933672,80.83374300236837,0.0,0.0,0.0,0.0,36.82360741687482,0.0,0.0,76.52766316307864,90.958296884963,0.0,16.44830158289135,0.0,0.0,17.708670699087726,0.0,0.0,47.78319432478029,27.19165456770541,101.21936469472755,0.0,24.128338469997384,15.892774093870724,0.0,0.0,0.0,36.350023455005655,0.0,61.8360537643093,36.94829081449727,0.0,0.0,0.0,0.0,38.340862505842225,0.0,0.0,86.8174401951292,162.60290738677438,28.932940889397397,0.0,0.0,0.0,40.3412962541924,0.0,0.0,0.0,0.0,0.0,38.682587867356276,0.0,0.0,0.0,0.0,0.0,15.760144502133915,0.0,0.0,19.962597713326172,30.525255273235896,0.0,42.9391824978167,31.46103256054839,0.0,13.861548672620943,0.0,23.28173254672352,0.0,0.0,60.21773260280524,0.0,24.925035868090607,8.442825232331291,0.0,0.0,0.0,109.13591044883542,88.08925009647982,0.0,32.616625180494424
Manufacturing & Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12043474382054,0.0,0.0,0.0,0.0,0.0,34.12706768208655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.152413854211886,0.0,0.0,39.138117728407195
