tech,year,patents
Sensing & Perception,1978,0.0
Sensing & Perception,1979,0.0
Sensing & Perception,1980,0.0
Sensing & Perception,1981,0.0
Sensing & Perception,1982,0.0
Sensing & Perception,1983,0.0
Sensing & Perception,1984,0.0
Sensing & Perception,1985,0.0
Sensing & Perception,1986,0.0
Sensing & Perception,1987,0.0
Sensing & Perception,1988,0.3333333333333333
Sensing & Perception,1989,0.0
Sensing & Perception,1990,0.0
Sensing & Perception,1991,1.0
Sensing & Perception,1992,1.1666666666666665
Sensing & Perception,1993,4.0
Sensing & Perception,1994,0.0
Sensing & Perception,1995,0.5
Sensing & Perception,1996,3.3333333333333335
Sensing & Perception,1997,2.0
Sensing & Perception,1998,4.333333333333333
Sensing & Perception,1999,1.5
Sensing & Perception,2000,10.0
Sensing & Perception,2001,19.5
Sensing & Perception,2002,26.33333333333332
Sensing & Perception,2003,29.999999999999996
Sensing & Perception,2004,34.5
Sensing & Perception,2005,19.999999999999996
Sensing & Perception,2006,14.333333333333334
Sensing & Perception,2007,30.166666666666668
Sensing & Perception,2008,24.833333333333332
Sensing & Perception,2009,28.16666666666665
Sensing & Perception,2010,53.33333333333336
Sensing & Perception,2011,51.333333333333336
Sensing & Perception,2012,80.0
Sensing & Perception,2013,64.33333333333334
Sensing & Perception,2014,72.50000000000001
Sensing & Perception,2015,58.50000000000003
Sensing & Perception,2016,154.49999999999997
Sensing & Perception,2017,130.33333333333326
Sensing & Perception,2018,177.50000000000009
Sensing & Perception,2019,175.0
Sensing & Perception,2020,216.66666666666677
Sensing & Perception,2021,226.16666666666688
Sensing & Perception,2022,196.83333333333343
Sensing & Perception,2023,128.6666666666666
Sensing & Perception,2024,129.99999999999997
Sensing & Perception,2025,91.49999999999996
Control & Planning,1978,0.0
Control & Planning,1979,0.0
Control & Planning,1980,0.0
Control & Planning,1981,0.0
Control & Planning,1982,0.0
Control & Planning,1983,0.0
Control & Planning,1984,0.0
Control & Planning,1985,0.0
Control & Planning,1986,0.0
Control & Planning,1987,0.0
Control & Planning,1988,0.3333333333333333
Control & Planning,1989,0.0
Control & Planning,1990,1.9999999999999998
Control & Planning,1991,5.666666666666666
Control & Planning,1992,4.666666666666667
Control & Planning,1993,5.666666666666667
Control & Planning,1994,9.166666666666666
Control & Planning,1995,8.166666666666666
Control & Planning,1996,20.83333333333333
Control & Planning,1997,5.333333333333333
Control & Planning,1998,19.0
Control & Planning,1999,27.999999999999993
Control & Planning,2000,18.666666666666664
Control & Planning,2001,41.00000000000003
Control & Planning,2002,49.50000000000002
Control & Planning,2003,56.33333333333334
Control & Planning,2004,75.50000000000003
Control & Planning,2005,37.83333333333333
Control & Planning,2006,62.00000000000001
Control & Planning,2007,56.333333333333336
Control & Planning,2008,60.50000000000001
Control & Planning,2009,45.50000000000001
Control & Planning,2010,45.50000000000001
Control & Planning,2011,38.16666666666667
Control & Planning,2012,85.83333333333327
Control & Planning,2013,73.99999999999999
Control & Planning,2014,104.49999999999999
Control & Planning,2015,149.33333333333331
Control & Planning,2016,161.83333333333343
Control & Planning,2017,139.49999999999997
Control & Planning,2018,141.49999999999997
Control & Planning,2019,164.5
Control & Planning,2020,155.83333333333334
Control & Planning,2021,178.83333333333337
Control & Planning,2022,125.33333333333327
Control & Planning,2023,94.3333333333333
Control & Planning,2024,71.83333333333333
Control & Planning,2025,65.83333333333336
Manipulation,1978,0.0
Manipulation,1979,0.0
Manipulation,1980,0.0
Manipulation,1981,0.0
Manipulation,1982,0.0
Manipulation,1983,0.0
Manipulation,1984,0.0
Manipulation,1985,0.0
Manipulation,1986,0.0
Manipulation,1987,0.5
Manipulation,1988,0.3333333333333333
Manipulation,1989,0.0
Manipulation,1990,3.5000000000000004
Manipulation,1991,12.333333333333334
Manipulation,1992,14.000000000000002
Manipulation,1993,20.5
Manipulation,1994,31.999999999999996
Manipulation,1995,43.50000000000001
Manipulation,1996,49.33333333333336
Manipulation,1997,57.33333333333334
Manipulation,1998,130.49999999999991
Manipulation,1999,141.16666666666666
Manipulation,2000,107.49999999999991
